"Title","Artist","Album","Time","BPM","Key","URL"
"Fight Song","Rachel Platten","Wildfire","03:21","88.0","2d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRachel%20Platten%20-%20Fight%20Song.mp3"
"Fight Song (live in SLC)","Rachel Platten","Fight Song (Rachel’s Version)","04:50","86.6","7d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRachel%20Platten%20-%20Fight%20Song%20(live%20in%20SLC).mp3"
"Fill Me In","Craig David","Absolute Music 34","03:53","132.5","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CCraig%20David%20-%20Fill%20Me%20In.mp3"
"Final Seconds","Future World Music","Behold","01:58","103.3","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFuture%20World%20Music%20-%20Final%20Seconds.mp3"
"Finale","Madeon feat. Nicholas Petricca","Adventure","03:25","92.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMadeon%20feat.%20Nicholas%20Petricca%20-%20Finale.mp3"
"Finally","Ce Ce Peniston","Finally","04:07","120.1","3m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CCe%20Ce%20Peniston%20-%20Finally.mp3"
"Finally","Kings of Tomorrow","Party Time: Disco House Classics","06:02","128.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CKings%20of%20Tomorrow%20-%20Finally.mp3"
"Finally Found You (Vice Remix)","Enrique Iglesias , Sammy Adams","Finally Found You","04:32","128.0","5d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CEnrique%20Iglesias%20,%20Sammy%20Adams%20-%20Finally%20Found%20You%20(Vice%20Remix).mp3"
"Find Your Love","Drake","Thank Me Later","03:29","96.0","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDrake%20-%20Find%20Your%20Love.mp3"
"Finding Berlin","Deadmau5, John O'callahan & Sarah Howells","www.lomaximoproductions.com","05:16","128.0","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDeadmau5,%20John%20O'callahan%20&%20Sarah%20Howells%20-%20Finding%20Berlin.mp3"
"Fine China","Chris Brown","X","03:34","104.0","8d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CChris%20Brown%20-%20Fine%20China.mp3"
"Finesse","Bruno Mars","24K Magic","03:11","105.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBruno%20Mars%20-%20Finesse.mp3"
"Fire","Lloyd Banks","G‐Unit Radio, Pt. 7: King of New York","02:39","95.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLloyd%20Banks%20-%20Fire.mp3"
"Fire Flame","Birdman feat. Lil Wayne","Fire Flame","04:21","148.0","7m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBirdman%20feat.%20Lil%20Wayne%20-%20Fire%20Flame.mp3"
"Fire Squad","J. Cole","2014 Forest Hills Drive","04:48","87.8","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CJ.%20Cole%20-%20Fire%20Squad.mp3"
"Fire for You","Cannons","Fire for You","03:52","102.0","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CCannons%20-%20Fire%20for%20You.mp3"
"Fired Up","The Cast of ZOMBIES","ZOMBIES","03:32","120.0","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CThe%20Cast%20of%20ZOMBIES%20-%20Fired%20Up.mp3"
"Fireman","Lil Wayne","Crunk Hits, Vol. 2","04:30","80.6","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLil%20Wayne%20-%20Fireman.mp3"
"Firewood (Dirty)","Fresh L. Feat. Davido",,"03:22","106.0","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFresh%20L.%20Feat.%20Davido%20-%20Firewood%20(Dirty).mp3"
"Fireworks","Drake feat. Alicia Keys","Thank Me Later","05:13","92.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDrake%20feat.%20Alicia%20Keys%20-%20Fireworks.mp3"
"First Day Out (Freestyle) , Pt. 2","Rundown Spaz","First Day Out (Freestyle), Pt. 2","03:17","135.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFirst%20Day%20Out%20(Freestyle)%20,%20Pt.%202-(139k).mp3"
"First Fires (Maya Jane Coles remix)","Bonobo feat. Grey Reverend","First Fires (Maya Jane Coles remix)","05:53","116.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBonobo%20feat.%20Grey%20Reverend%20-%20First%20Fires%20(Maya%20Jane%20Coles%20remix).mp3"
"First Fuck","6LACK & Jhené Aiko","First Fuck","03:26","140.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C6LACK%20&%20Jhen%C3%A9%20Aiko%20-%20First%20Fuck.mp3"
"First Song","Melody Gardot","The Essential Melody Gardot","04:44","107.9","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMelody%20Gardot%20-%20First%20Song.mp3"
"First of the Year (Equinox)","Skrillex","More Monsters and Sprites EP","04:22","145.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CSkrillex%20-%20First%20of%20the%20Year%20(Equinox).mp3"
"Fix You","Matt McAndrew","The Voice: The Complete Season 7 Collection","03:52","146.0","10d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMatt%20McAndrew%20-%20Fix%20You.mp3"
"Flashlight","Jessie J","Pitch Perfect 2: Original Motion Picture Soundtrack","03:29","148.0","12d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CJessie%20J%20-%20Flashlight.mp3"
"Flashlight","R3hab","YouTube Downloader Audio","05:12","128.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CR3hab%20-%20Flashlight.mp3"
"Flashy","City Girls feat. Kim Petras","RAW","02:46","116.0","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CCity%20Girls%20feat.%20Kim%20Petras%20-%20Flashy.mp3"
"FlatBed Freestyle","Playboi Carti","Die Lit","03:14","102.1","6d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPlayboi%20Carti%20-%20FlatBed%20Freestyle.mp3"
"Flava","Rich Homie Quan","No Pen No Pad","05:51","104.0","4d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRich%20Homie%20Quan%20-%20Flava.mp3"
"Flava in Ya Ear","Craig Mack","Project: Funk da World","03:38","90.1","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CCraig%20Mack%20-%20Flava%20in%20Ya%20Ear.mp3"
"Flava in Ya Ear (remix)","Craig Mack feat. LL Cool J, Busta Rhymes & The Notorious B.I.G.","Cut Killa Show 19361","04:29","90.2","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CCraig%20Mack%20feat.%20LL%20Cool%20J,%20Busta%20Rhymes%20&%20The%20Notorious%20B.I.G.%20-%20Flava%20in%20Ya%20Ear%20(remix).mp3"
"Flesh and Bone (Jacques Lu Cont remix)","The Killers","Battle Born (deluxe edition)","05:45","132.0","11d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CThe%20Killers%20-%20Flesh%20and%20Bone%20(Jacques%20Lu%20Cont%20remix).mp3"
"Flex","Playboi Carti ft. Leven Kali","Playboi Carti","04:01","130.0","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPlayboi%20Carti%20ft.%20Leven%20Kali%20-%20Flex.mp3"
"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan","Flex (Ooh, Ooh, Ooh)","02:57","82.0","4d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRich%20Homie%20Quan%20-%20Flex%20(Ooh,%20Ooh,%20Ooh).mp3"
"Flex Up","Lil Yachty, Future, & Playboi Carti","Hip-Hop & RNB Singles (LDS 226)","03:36","80.0","3d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLil%20Yachty,%20Future,%20&%20Playboi%20Carti%20-%20Flex%20Up.mp3"
"Flip the Script","Gramatik","Street Bangerz, Vol. 3","02:36","93.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CGramatik%20-%20Flip%20the%20Script.mp3"
"Floating","Alina Baraz feat. Khalid","The Color of You","02:55","85.0","5d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CAlina%20Baraz%20feat.%20Khalid%20-%20Floating.mp3"
"Flocky Flocky","Don Toliver & Travis Scott","Hip-Hop & RNB Singles (LDS 231)","03:36","136.0","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDon%20Toliver%20&%20Travis%20Scott%20-%20Flocky%20Flocky.mp3"
"Flooded","Migos","Culture II","04:30","135.0","3m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMigos%20-%20Flooded.mp3"
"Flooded The Face","Lil Uzi Vert","Hip-Hop & RNB Singles (LDS 240)","03:24","132.0","5m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLil%20Uzi%20Vert%20-%20Flooded%20The%20Face.mp3"
"Flor Pálida","Marc Anthony","3.0","04:41","94.0","2d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMarc%20Anthony%20-%20Flor%20P%C3%A1lida.mp3"
"Flores de Colombia","Lalito y Conjunto Colombia","Soundway Presents: The Original Sound of Cumbia (The History of Colombian Cumbia & Porro As Told By The Phonograph 1948-79 Compiled by Quantic)","02:44","84.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLalito%20y%20Conjunto%20Colombia%20-%20Flores%20de%20Colombia.mp3"
"Flow Callejero","Tito ""El Bambino"", Ñengo Flow, DJ Nelson","Flow Callejero","03:15","100.0","7m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CTito%20El%20Bambino%C3%91engo%20FlowDJ%20Nelson%20-%20Flow%20Callejero.mp3"
"Flow Callejero (Alfonzo Andrade Hype Edit)","Tito El Bambino, Nengo Flow & Dj Nelson Vs Baby Rasta & Gringo",,"02:38","100.0","7m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CTito%20El%20Bambino,%20Nengo%20Flow%20&%20Dj%20Nelson%20Vs%20Baby%20Rasta%20&%20Gringo%20-%20Flow%20Callejero%20(Alfonzo%20Andrade%20Hype%20Edit).mp3"
"Flowers","Miley Cyrus","Flowers","03:21","118.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMiley%20Cyrus%20-%20Flowers.mp3"
"Flute","[unknown]","Baby's First Introduction to Instruments of the Orchestra","03:18","87.5","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C%5Bunknown%5D%20-%20Flute.mp3"
"Fly","Sugar Ray feat. Super Cat","The Best of Sugar Ray","04:54","99.7","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CSugar%20Ray%20feat.%20Super%20Cat%20-%20Fly.mp3"
"Fly Down","Nadg",,"02:26","107.0","5m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CNadg%20-%20Fly%20Down.mp3"
"Fly Girl","FLO feat. Missy Elliott","Fly Girl","03:49","104.0","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFLO%20feat.%20Missy%20Elliott%20-%20Fly%20Girl.mp3"
"Fly Like The Wind","Lloyd Banks",,"04:33","81.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLloyd%20Banks%20-%20Fly%20Like%20The%20Wind.mp3"
"Fly by Night","Lucian feat. Noé","Forever","03:24","137.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLucian%20feat.%20No%C3%A9%20-%20Fly%20by%20Night.mp3"
"Flying High","Travis Scott feat. Toro y Moi","Rodeo","03:29","130.0","3m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CTravis%20Scott%20feat.%20Toro%20y%20Moi%20-%20Flying%20High.mp3"
"Foc","Rodrigo y Gabriela","Live in Japan","10:41","135.0","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRodrigo%20y%20Gabriela%20-%20Foc.mp3"
"Fold","Bonobo & Jacques Greene","Fold","05:35","128.0","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBonobo%20&%20Jacques%20Greene%20-%20Fold.mp3"
"Follow God","Kanye West","Jesus Is King","01:45","90.0","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CKanye%20West%20-%20Follow%20God.mp3"
"Follow It (Extended Mix)","The HIDD3NS","Follow It","04:45","125.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFollow%20It%20(Extended%20Mix)-(136k).mp3"
"Follow Me","AURIq & Zyqs","The Best Dance Club Of 2020","02:45","122.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CAURIq%20&%20Zyqs%20-%20Follow%20Me.mp3"
"Follow My Lead","50 Cent feat. Robin Thicke","Curtis","03:18","93.0","4d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C50%20Cent%20feat.%20Robin%20Thicke%20-%20Follow%20My%20Lead.mp3"
"Follow the Leader","Wisin & Yandel feat. Jennifer Lopez","Absolute Dance Autumn 2012","04:00","123.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CWisin%20&%20Yandel%20feat.%20Jennifer%20Lopez%20-%20Follow%20the%20Leader.mp3"
"Foolish","Ashanti","Bravo: The Hits 2002, Part 1","03:48","90.1","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CAshanti%20-%20Foolish.mp3"
"Footsteps in the Dark, Pts. 1 & 2","SiR","Footsteps in the Dark, Pts. 1 & 2","05:18","81.0","4d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CSiR%20-%20Footsteps%20in%20the%20Dark,%20Pts.%201%20&%202.mp3"
"For My Dogs","DMX feat. Big Stan, Loose, Kasino & Dragon","It’s Dark and Hell Is Hot","04:12","86.1","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDMX%20feat.%20Big%20Stan,%20Loose,%20Kasino%20&%20Dragon%20-%20For%20My%20Dogs.mp3"
"For Someone I Love","Regina Carter","Motor City Moments","05:53","135.8","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRegina%20Carter%20-%20For%20Someone%20I%20Love.mp3"
"Foreign","Playboi Carti","Die Lit","02:23","123.0","5m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPlayboi%20Carti%20-%20Foreign.mp3"
"Foreign","Trey Songz","Trigga Reloaded","04:09","124.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CTrey%20Songz%20-%20Foreign.mp3"
"Forever And A Day feat. Caroline Byrne (Extended Mix)","LP Giobbi & Caroline Byrne","Forever And A Day","04:30","125.0","2d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLP%20Giobbi%20&%20Caroline%20Byrne%20-%20Forever%20And%20A%20Day%20feat.%20Caroline%20Byrne%20(Extended%20Mix).mp3"
"Forever, Part II","Snakehips feat. Kaleem Taylor","Forever (Pt. II) EP","03:54","95.0","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CSnakehips%20feat.%20Kaleem%20Taylor%20-%20Forever,%20Part%20II.mp3"
"Forget It","Tantrum Desire","Forget It / Killerz","02:57",,,"file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CForget%20It-(128k).mp3"
"Forget Me Nots","Patrice Rushen","Straight From the Heart","04:44","113.7","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPatrice%20Rushen%20-%20Forget%20Me%20Nots.mp3"
"Forget Me Nots (single version)","Patrice Rushen","Straight From the Heart + Now","04:06","113.7","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPatrice%20Rushen%20-%20Forget%20Me%20Nots%20(single%20version).mp3"
"Forsaken","David Draiman","Queen of the Damned","03:37","99.0","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDavid%20Draiman%20-%20Forsaken.mp3"
"Fortunate","Maxwell","Life: Music Inspired by the Motion Picture","05:02","126.1","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMaxwell%20-%20Fortunate.mp3"
"Foxxxy (Original Mix)  - LMP","La reda","www.lomaximoproductions.com","05:03","130.0","3m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLa%20reda%20-%20Foxxxy%20(Original%20Mix)%20%20-%20LMP.mp3"
"Frames (Who’s Gonna Know)","Wizkid","More Love, Less Ego","03:25","95.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CWizkid%20-%20Frames%20(Who%E2%80%99s%20Gonna%20Know).mp3"
"Freak Like Me (Konrad Oldmoney Remix) - LMP","Santigold","www.lomaximoproductions.com","03:39","110.0","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CSantigold%20-%20Freak%20Like%20Me%20(Konrad%20Oldmoney%20Remix)%20-%20LMP.mp3"
"Freak Samba 2k10 (Clubzound Dirty Remix) - LMP","Clubzound","www.lomaximoproductions.com","05:32","130.0","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CClubzound%20-%20Freak%20Samba%202k10%20(Clubzound%20Dirty%20Remix)%20-%20LMP.mp3"
"Freaks and Geeks","Childish Gambino","EP","03:37","81.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CChildish%20Gambino%20-%20Freaks%20and%20Geeks.mp3"
"Free","6LACK","Up Next Session: 6LACK","04:23","124.0","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C6LACK%20-%20Free.mp3"
"Free Fall","Tems feat. J. Cole","Born in the Wild","03:13","92.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CTems%20feat.%20J.%20Cole%20-%20Free%20Fall.mp3"
"Free Willy - LMP","8barz Re-Boot","www.lomaximoproductions.com","05:31","129.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C8barz%20Re-Boot%20-%20Free%20Willy%20-%20LMP.mp3"
"Free Your Mind","En Vogue","Funky Divas","04:53","100.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CEn%20Vogue%20-%20Free%20Your%20Mind.mp3"
"Freedom","Gemini","Mercury","04:14","128.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CGemini%20-%20Freedom.mp3"
"Freeee (Ghost Town, Pt. 2)","KIDS SEE GHOSTS feat. Ty Dolla $ign","KIDS SEE GHOSTS","03:25","151.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CKIDS%20SEE%20GHOSTS%20feat.%20Ty%20Dolla%20$ign%20-%20Freeee%20(Ghost%20Town,%20Pt.%202).mp3"
"Freek-A-Leek","Petey Pablo","Still Writing in My Diary: 2nd Entry","03:52","105.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPetey%20Pablo%20-%20Freek-A-Leek.mp3"
"Freek-A-Leek (remix)","Petey Pablo feat. Twista & Jermaine Dupri","Kamikaze","04:05","105.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPetey%20Pablo%20feat.%20Twista%20&%20Jermaine%20Dupri%20-%20Freek-A-Leek%20(remix).mp3"
"Freestyle","50 Cent","Man on Fire","01:33","85.3","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C50%20Cent%20-%20Freestyle.mp3"
"Freestyle","Eminem feat. The Notorious B.I.G.","The Angry Blonde","03:27","92.1","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CEminem%20feat.%20The%20Notorious%20B.I.G.%20-%20Freestyle.mp3"
"Freestyle","Lloyd Banks","Whiteowl Drop That 159","02:24","97.0","7m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLloyd%20Banks%20-%20Freestyle.mp3"
"Freestyle","Mase, Cardan, Nore, Camron, &","DJ Clue-Curse of Clue(Freestyl","08:42","93.3","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMase,%20Cardan,%20Nore,%20Camron,%20&%20-%20Freestyle.mp3"
"Freestyle","The LOX","The Best of Murder Mixtape","04:29","100.7","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CThe%20LOX%20-%20Freestyle.mp3"
"Freestyle","Young Buck, Lil' Flip","DJ Whoo Kid-The Sopranos Mixta","03:00","99.0","3m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CYoung%20Buck,%20Lil'%20Flip%20-%20Freestyle.mp3"
"Freestyle‐Kingz","Styles P","The Ghost in the Machine","01:33","93.8","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CStyles%20P%20-%20Freestyle%E2%80%90Kingz.mp3"
"Frente a una copa de vino","Ray Polanco","Lo mejor de su repertorio","04:36","127.7","10d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRay%20Polanco%20-%20Frente%20a%20una%20copa%20de%20vino.mp3"
"Frequency feat. Lucky Daye","D Smoke","Wake Up Supa","03:48","140.0","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CD%20Smoke%20-%20Frequency%20feat.%20Lucky%20Daye.mp3"
"Fresh Air","Future","HNDRXX","04:31","125.0","11d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFuture%20-%20Fresh%20Air.mp3"
"Friction","Imagine Dragons","Smoke + Mirrors","03:22","104.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CImagine%20Dragons%20-%20Friction.mp3"
"Friday (Dopamine re‐edit)","Riton, Nightcrawlers feat. Mufasa & Hypeman","Friday (Dopamine re‐edit)","02:49","123.0","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRiton,%20Nightcrawlers%20feat.%20Mufasa%20&%20Hypeman%20-%20Friday%20(Dopamine%20re%E2%80%90edit).mp3"
"Friends","Marshmello & Anne‐Marie","Now That’s What I Call Music! 99","03:24","95.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMarshmello%20&%20Anne%E2%80%90Marie%20-%20Friends.mp3"
"Friends","Mr. Easy","Show off Riddim","02:39","94.4","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMr.%20Easy%20-%20Friends.mp3"
"Frio en mí","Los Alfa 8","Salsa!! Salsa!!","04:51","87.3","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLos%20Alfa%208%20-%20Frio%20en%20m%C3%AD.mp3"
"Frío (remix radio edit)","Ricky Martin feat. Wisin & Yandel","Música + alma + sexo","03:37","103.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CRicky%20Martin%20feat.%20Wisin%20&%20Yandel%20-%20Fr%C3%ADo%20(remix%20radio%20edit).mp3"
"Frío, frío","Juan Luis Guerra feat. Romeo Santos","Frío, frío","03:51","126.0","7m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CJuan%20Luis%20Guerra%20feat.%20Romeo%20Santos%20-%20Fr%C3%ADo,%20fr%C3%ADo.mp3"
"From Yuh See Me (Raw)   Box Of","Konshens","WWW.BIGSOUNDMUSIC.NET","02:26","100.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CKonshens%20%20%20%20-%20From%20Yuh%20See%20Me%20(Raw)%20%20%20Box%20Of.mp3"
"From a War","Vybz Kartel","Show off Riddim","02:45","94.4","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CVybz%20Kartel%20-%20From%20a%20War.mp3"
"From the Inside","Linkin Park","Meteora","02:56","126.8","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CLinkin%20Park%20-%20From%20the%20Inside.mp3"
"Frosted Flakes","Quality Control, Migos",,"04:02","143.0","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CQuality%20Control,%20Migos%20-%20Frosted%20Flakes.mp3"
"Frosty the Snowman","Ben Rector","A Ben Rector Christmas","02:43","82.0","7d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBen%20Rector%20-%20Frosty%20the%20Snowman.mp3"
"Fu-Gee-La","Fugees","The History of Hip-Hop","04:20","90.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFugees%20-%20Fu-Gee-La.mp3"
"Fuck Being Friends","Jessie Reyez","Being Human in Public","02:31","78.0","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CJessie%20Reyez%20-%20Fuck%20Being%20Friends.mp3"
"Fuck Her Gently","Tenacious D","Tenacious D","02:04","118.9","3d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CTenacious%20D%20-%20Fuck%20Her%20Gently.mp3"
"Fuck U Betta","Neon Hitch","Fuck U Betta","03:23","130.0","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CNeon%20Hitch%20-%20Fuck%20U%20Betta.mp3"
"Fuck Wit Dre Day (and Everybody's Celebratin')","Dr. Dre","The Chronic","04:52","93.5","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDr.%20Dre%20-%20Fuck%20Wit%20Dre%20Day%20(and%20Everybody's%20Celebratin').mp3"
"Fuck You Tonight","The Notorious B.I.G. feat. R. Kelly","Life After Death (remastered edition)","05:46","88.9","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CThe%20Notorious%20B.I.G.%20feat.%20R.%20Kelly%20-%20Fuck%20You%20Tonight.mp3"
"Fucking Told U","Young Thug","UY SCUTI (Supernova Edition)","02:54","132.0","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CYoung%20Thug%20-%20Fucking%20Told%20U.mp3"
